config_key,K,lam_lin,lam_nonlin,seed,pred_r2,sharpe,phi,drift
"(3, 0.005, 1e-06)",3,0.005,1e-06,99,0.01230478286743164,0.9680978389519579,0.6407446663206109,0.7758417292845308
"(3, 0.005, 1e-06)",3,0.005,1e-06,2048,0.008778035640716553,0.7183366905611458,0.6636585628594467,0.5830719348987805
"(3, 0.005, 1e-05)",3,0.005,1e-05,10,0.010617196559906006,0.9991346107794293,0.5135706113672064,0.7192625727681007
"(3, 0.005, 1e-05)",3,0.005,1e-05,30,0.016119658946990967,1.0028328882874302,0.3962578216595332,0.8176987286367852
"(3, 0.005, 1e-05)",3,0.005,1e-05,45,0.016442179679870605,1.0278809917545855,0.18731230942468086,0.82516236051731
"(3, 0.005, 1e-05)",3,0.005,1e-05,99,0.014008402824401855,1.0066984363741285,0.23378301819068403,0.7889142868791092
"(3, 0.005, 1e-05)",3,0.005,1e-05,2048,0.01542884111404419,1.0024699032835918,0.11597999285866362,0.781518096961468
"(3, 0.005, 5e-05)",3,0.005,5e-05,10,0.016963601112365723,1.0302134346856042,0.21918361002952538,0.8436514396221817
"(3, 0.005, 5e-05)",3,0.005,5e-05,30,0.017941057682037354,1.0235728334351124,0.16127847725543518,0.7916348606835512
"(3, 0.005, 5e-05)",3,0.005,5e-05,45,0.016447126865386963,1.0281661498576524,0.1758171869507915,0.8251265625225109
"(3, 0.005, 5e-05)",3,0.005,5e-05,99,0.012035369873046875,1.0112464136900625,0.20345204423356436,0.7888669159691262
"(3, 0.005, 5e-05)",3,0.005,5e-05,2048,0.015486001968383789,1.0153349659102087,0.10861186285814148,0.781507795167562
"(3, 0.005, 0.0001)",3,0.005,0.0001,10,0.017094194889068604,1.0337052154053046,0.2009851748293462,0.84364804450147
"(3, 0.005, 0.0001)",3,0.005,0.0001,30,0.017889022827148438,1.0224176758343981,0.13624310742334825,0.7915489216073127
"(3, 0.005, 0.0001)",3,0.005,0.0001,45,0.01651078462600708,1.0252131661405752,0.16169899652763636,0.8250870625838403
"(3, 0.005, 0.0001)",3,0.005,0.0001,99,0.00963127613067627,1.0162238076964665,0.16862207851568436,0.7889311193943042
"(3, 0.005, 0.0001)",3,0.005,0.0001,2048,0.015544652938842773,1.0355523689863557,0.10014069492282224,0.7815034827774068
"(3, 0.005, 0.0005)",3,0.005,0.0005,10,0.019394278526306152,1.0227809783311108,0.09084605796749894,0.8458790523695556
"(3, 0.005, 0.0005)",3,0.005,0.0005,30,0.018410921096801758,1.0475751814235101,0.03685625071677667,0.8103452071716363
"(3, 0.005, 0.0005)",3,0.005,0.0005,45,0.01528388261795044,0.9798620880113588,0.1274120837536792,0.8737071299228636
"(3, 0.005, 0.0005)",3,0.005,0.0005,99,0.019341230392456055,1.0011040826277364,0.07637287046042489,0.8346697116452547
