Model,config_key,K,lam_lin,lam_nonlin,seed,selected_by_validation,pred_r2,sharpe,phi,drift
ResCAE,"cae:(2, 0.05, 1e-06)",2,0.05,1e-06,2048,False,0.00966942310333252,0.6002597076133108,0.7878512266375817,0.6479459404945374
ResCAE,"cae:(2, 0.05, 1e-05)",2,0.05,1e-05,10,False,0.017682969570159912,0.5034256679964619,7.769746468868724e-07,0.7746551632881165
ResCAE,"cae:(2, 0.05, 1e-05)",2,0.05,1e-05,30,False,0.016294121742248535,0.4501237709207157,1.353898722323486e-07,0.8170509934425354
ResCAE,"cae:(2, 0.05, 1e-05)",2,0.05,1e-05,45,False,0.01620471477508545,0.5056699889080059,5.518748552164754e-07,0.6864877939224243
ResCAE,"cae:(2, 0.05, 1e-05)",2,0.05,1e-05,99,False,0.017347633838653564,0.48658356368031447,2.2451290286270677e-07,0.8475823998451233
ResCAE,"cae:(2, 0.05, 1e-05)",2,0.05,1e-05,2048,False,0.017291486263275146,0.4724924636921119,1.0530142717495265e-08,0.7142353653907776
ResCAE,"cae:(2, 0.05, 5e-05)",2,0.05,5e-05,10,False,0.017044901847839355,0.49456554178552387,1.4705023526385017e-06,0.9296309351921082
ResCAE,"cae:(2, 0.05, 5e-05)",2,0.05,5e-05,30,False,0.016212403774261475,0.43668859355344525,3.7389378171789396e-07,0.8170660138130188
ResCAE,"cae:(2, 0.05, 5e-05)",2,0.05,5e-05,45,False,0.017369449138641357,0.46748004170739693,7.394727085233594e-07,0.9285355806350708
ResCAE,"cae:(2, 0.05, 5e-05)",2,0.05,5e-05,99,False,0.017557978630065918,0.5074513368989064,6.868966400375896e-07,0.9066786170005798
ResCAE,"cae:(2, 0.05, 5e-05)",2,0.05,5e-05,2048,False,0.017091870307922363,0.44824019472500215,3.1538701867591297e-07,0.8923468589782715
ResCAE,"cae:(2, 0.05, 0.0001)",2,0.05,0.0001,10,False,0.016976594924926758,0.49629101245256907,1.149170520028525e-06,0.9297367930412292
ResCAE,"cae:(2, 0.05, 0.0001)",2,0.05,0.0001,30,False,0.01614367961883545,0.44400718708307035,1.2050000359741312e-07,0.8170759081840515
ResCAE,"cae:(2, 0.05, 0.0001)",2,0.05,0.0001,45,False,0.01739823818206787,0.47273689332232277,1.342376480409523e-06,0.9285018444061279
ResCAE,"cae:(2, 0.05, 0.0001)",2,0.05,0.0001,99,False,0.017517149448394775,0.5037133630556418,4.729856850687065e-07,0.9065468311309814
ResCAE,"cae:(2, 0.05, 0.0001)",2,0.05,0.0001,2048,False,0.01709306240081787,0.45526199170422155,5.180686083450899e-07,0.8923518657684326
